COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"When making a request of the OS, an API calls a method.",TRUE,FALSE,,,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"When transmissions are missing packets at the destination, what layer of the OSI handles how the data is recovered and reassembled?",Application layer,Presentation layer,Session layer,Transport layer,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,The address fe80::8cf1:2c42:ffde:da1c is a multicast address.,TRUE,FALSE,,,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Describe the physical appearance of a bus topology network,"Devices are connected to two adjacent devices, and communication priority is granted by a token","Devices are connected directly to a centralized networking device, known as a network switch",Devices are daisy-chained together in a single line,"Devices are directly attached to a network router, which forwards data to intended destinations",C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What type of DNS record will hold SPF and DKIM record information?,SRV record,CNAME record,TXT record,PTR record,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"In a forward DNS zone, what is the function of the MX record?","It identifies the hostname and port of a computer that hosts a specific network service, such as FTP or SIP",It identifies the authoritative name server for a domain,It identifies the e-mail server to be used for e-mail traffic for the domain,It holds the alternative names for a host,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What can be done to minimize crosstalk in twisted pair cabling?,No more than 1 inch of the cable should be exposed,No less than 1 inch of the cable should be exposed,Each pair should be stripped of insulation so that it doesn?t get caught in the jack,Each pair should be twisted around another pair to reduce cross talk,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What dig command allows you to test the resolution of your domain thiscompany.com MX record using Google?s DNS server with the IP address of 8.8.8.8?,dig ?server 8.8.8.8 ?type=mx thiscompany.com,dig ?s 8.8.8.8 ?t mx thiscompany.com,dig query 8.8.8.8 domain thiscompany.com type mx,dig @8.8.8.8 thiscompany.com MX,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What does a jumbo frame enabled network mean?,The MTU for the network can be as high as 9198 bytes,The network is not based on the Ethernet standard,Fragmented frames will be consolidated into whole frames before being sent,"The MTU for the network is set at 65,535 bytes",A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Electrical components can be damaged in as little as what voltage?,5 volts,10 volts,100 volts,1500 volts,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What light wavelength encompasses 1000Base-LX?,850 nanometers,1200 nanometers,1300 nanometers,1550 nanometers,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"What is the correct pinout order for T568B, beginning at pin 1?","white/green, green, white/orange, blue, white/blue, orange, white/brown, brown","blue, white/blue, green, white/green, orange, white/orange, brown, white/brown","white/orange, orange, white/green, blue, white/blue, green, white/brown, brown","white/brown, brown, white/green, blue, white/blue, green, orange, white/orange",C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What technology separates bidirectional data in Bidirectional transceivers?,wavelength division multiplexing,time division multiplexing,frequency division multiplexing,statistical time division multiplexing,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Which protocol sends a signal during initial connection but does not transfer data during the session?,NTP,LDAP,TFTP,SIP,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Which service allows users to access their resources on any computer in the domain by simply signing in with their network credentials?,Active Directory Federated Users (AD FU),Active Directory Domain Services (AD DS),Automated Directory Network Services (AD NS),Windows Named Resource Services (WN RS),B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Describe the function of the Layer 2 LLC sublayer.,"It is used to handle multiplexing, flow and error control, and reliability",It is used to manage MAC addresses in message frames,It performs management of the physical layer?s modulation techniques,It is used to manage low-level encryption on a network,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Cisco switches do not include ______ as a pre-established VLAN.,VLAN 1,VLAN 1001,VLAN 1003,VLAN 1005,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Where is the DMARC located in a structured cabling environment?,in the Main Distribution Frame (MDF),at the Intermediate Distribution Frame (IDF),in the work area,between the MDF and the IDF,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"An STP, non-root bridge needs to forward traffic to the root bridge. Which port can accomplish this task?","Only one root port, which is the bridge?s port that is closest to the root bridge, can forward","Only one root port, which is the bridge?s port that is furthest from the root bridge, can forward","All ports can forward frames to the root bridge, provided they are not in a down state","All ports will forward frames to the root bridge, unless a BPDU is received back on that same port",A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Why would you use root guard in configuring a switch?,You wish to block BPDUs on an access port serving network hosts,You wish to disable STP on a port connected to a partnered company?s switch,"You wish to prevent switches beyond a certain port from becoming the root bridge, but still wish to use STP",You wish to prevent a rogue switch or computer from hijacking the network?s STP paths,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Uses the 6-bit Differentiated Services field in the IP header for the purpose of packet classification.,Priority Code Point (PCP),Differentiated Services Code Point (DSCP),Class of Service (CoS),Forward Error Correction (FEC),B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Describe the purpose of the Presentation layer in the OSI model.,"The Presentation layer describes the interface between two applications, each on separate computers","The Presentation layer is responsible for reformatting, compressing, and/or encrypting data in a way that the application on the receiving end can read",The Presentation layer is responsible for describing how data between applications is synced and recovered if messages don?t arrive intact at the receiving application,The Presentation layer is responsible for transporting Application layer payloads from one application to another,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Mail messages are sent to a server using this protocol.,POP3,IMAP4,SMTP,HTTPS,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What is considered the most popular web server application?,Microsoft Internet Information Services,NGINX,Lighttpd,Apache,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,The TCP/IP model often ignores this layer because it is considered simple.,Application layer,Network layer,Physical layer,Data link layer,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What federal agency is charged with safety and health in the workplace?,Occupational Safety and Health Administration (OSHA),Workplace Safety and Hazard Administration (WSHA),Office Safety and Standards Department (OSSD),Hazardous Materials and Safety Management (HMSM),A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"Errors and shorted component life, caused by static discharge, leads to this type of failure.",catastrophic failure,interrupting failure,upset failure,temporary failure,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"There are two types of fiber-optic cable, single-mode fiber (SMF) and multimode fiber (MMF).",TRUE,FALSE,,,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What describes backbone cabling the best?,Short length cables with connectors at both ends,It is cabling that connects workstations to the closest data room and to switches housed in the room,"The cables or wireless links that provide interconnection between the entrance facility and MDF, and between the MDF and IDFs",The shielded cables that are used for high data transmission rates between an organization and an ISP,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Which part is the domain name in ftp1.omaha.thiscompany.com?,ftp1,ftp1.omaha,ftp1.omaha.thiscompany,thiscompany.com,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,IPv6 addresses are represented as nine blocks of hexadecimal numbers separated by colons.,TRUE,FALSE,,,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,The extension identifier is found in ______.,The first 24 bits of the MAC address,The last 24 bits of the MAC address,The first 12 bits of the MAC address,The last 12 bits of the MAC address,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What is the IP range for a Class B?,1.x.y.z to 126.x.y.z,128.0.x.y to 191.255.x.y,192.0.0.x to 223.255.255.x,224.x.y.z to 255.x.y.z,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,The NIC?s MAC address is used to assign a unique 64-bit address in this standard.,EUI-64,IEEE 802.36,UUID-128,MACin6,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Which field advises routers of incoming IPv4 packet priority?,Differentiated Services (DiffServ),Internet header length (IHL),Time to Live (TTL),Padding,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"Which additional protocol is required to guarantee the delivery of data, other than the IP connectionless protocol?",UDP,ICMP,TCP,ARP,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What is the result when a network collision occurs?,"The collision goes undetected, and data transmission continues","The collision will create an error in the network switch, but otherwise, no issues will occur as a result","Each node on the network stops transmitting, until manually told to reconnect and transmit",Each node on the network waits a random amount of time and then resends the transmission,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Gigabit speeds are supported on ______ UTP and above.,Cat 3,Cat 5,Cat 5e,Cat 6,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What is the RG rating in coaxial cabling?,The number of twists in the copper core,The overall thickness of the cable,"The maximum distance the cable is rated for, in kilometers",The materials used for shielding and conducting cores,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What is ?jitter??,Jitter is what happens when packets experience varying amounts of delay and arrive out of order,"Jitter is the loss of 50% or more packets in a given data stream, causing a connection to falter",Jitter is the fluctuation of a signal?s strength as it travels away from its source,Jitter is the transmission of signal onto unintended pairs in a copper cable,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Which frame type assists in the delivery of data frames and provides MAC-layer reliability functions?,management frames,control frames,data frames,extended frames,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What field indicates a size of 8 to 10 bytes in PPP headers and trailer of the Network Layer packets?,priority,FCS,FEC,encryption,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,What is the dotted decimal form for a CIDR notation of /26?,255.255.255.0,255.255.255.192,255.255.255.224,255.255.255.240,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,VLAN hopping attacks can be circumvented by ______.,Use MAC address filtering,Install a router to process the untagged traffic on the VLAN,Install an additional switch to isolate traffic,Disable auto trunking and move native VLANs to unused VLANs,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Find the network ID of the host with an IP address of 172.16.1.144 /23.,172.16.0.0,172.16.1.0,172.16.2.0,172.0.0.0,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Class B networks contain this many max hosts IP addresses. What is the maximum number of host IP addresses that can exist in a Class B network?,1022,8190,"32,766","65,534",D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"Which is enabled to block BPDUs, preventing ports as consideration for best path?",BPDU filter,BPDU guard,root guard,BPDU drop,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Which can find and fix link failures and is a descendant of STP?,Transparent Interconnection of Lots of Links (TRILL),Shortest Path Bridging (SPB),Rapid Spanning Tree Protocol (RSTP),Multiple Spanning Tree Protocol (MSTP),C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,Which is a significant downfall to WEP?,It did not allow the use of a password for access to the network,It provided no encryption for traffic sent over the air,"It used a shared encryption key for all clients, and the key might never change","It only encrypted the initial connection authentication, but did not encrypt subsequent traffic",C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2021,"Regarding DoS attacks, which statement is correct?",A denial-of-service attack occurs when a MAC address is impersonated on the network,A denial-of-service attack prevents legitimate users from accessing normal network resources,A denial-of-service attack is generally a result of a disgruntled employee,A denial-of-service attack is no longer a major concern due to the increased throughput available on most networks,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following abbreviations are commonly used to represent transmit and receive?,Tr and Re,Tn and Rn,Tx and Rx,Ti and Rn,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"What action does the technology, TCP offload engine (TOE), perform?",Offloads processing of the TCP/IP stack to the network controller.,Offloads processing of the TCP/IP stack to the processor.,Offloads TCP packets to be processed by a software controller.,Offloads UDP packets to be processed by a software controller.,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following payload sizes would not be considered a jumbo frame / packet?,8960 bytes,7895 bytes,1460 bytes,5024 bytes,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"Reference the following shared folder name / path and identify the domain, server, and shared folder names: \\FS01.BPA.org\Volunteering",Domain: FS01 Server: BPA.org Share: Volunteering,Domain: BPA.org Server: FS01 Share: Volunteering,Domain: BPA.org Server: Volunteering Share: FS01,Domain: Volunteering Server: FS01 Share: BPA.org,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following names is most commonly used as the DNS suffix?,Server name,Domain name,NetBIOS name,Network adapter name,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"The file-sharing protocol, NFS, is primarily used by which of the following clients?",Microsoft,MacOS,Android,Linux,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"The file-sharing protocol, AFP, is primarily used by which of the following clients?",Microsoft,MacOS,Android,Linux,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"The file-sharing protocol, SMB, is primarily used by which of the following clients?",Microsoft,MacOS,Android,Linux,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"A network administrator is troubleshooting an issue in which client VPN connections are being disconnected, most commonly when the client machines go into hibernation. Which of the following is the most likely culprit?",Wait for link.,Wake on magic packet.,Allow this device to wake the computer.,Allow the computer to turn off this device to save power.,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following problem statements would the system event log be most likely to help diagnose / resolve?,A third-party application is crashing when launched.,An access denied error is given when attempting to open a shared folder.,A service is failing to start during boot.,An external website is inaccessible.,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"A user is attempting to access an external website via HTTPS. The browser is reporting that the certificate is invalid; however, the website was not reporting any issues the day before. The user has verified that no changes have been made to the certificate. Which of the following is the most likely culprit?",The root certificate is not trusted.,The certificate has expired.,The hostname does not match what is listed on the certificate.,The certificate or a certificate in the chain is on the CRL.,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following DNS records would allow clients to resolve www.bpa.org and remote.bpa.org to the same IP address?,*.BPA.org,Any.BPA.org,Wildcard.BPA.org,$_.BPA.org,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following sets of IP addresses would not require a gateway to communicate?,10.0.0.10/8 and 100.0.0.10/8,172.16.0.10/16 and 172.32.0.100/16,192.168.10.10/24 and 192.168.100.100/24,169.254.0.10/24 and 192.168.254.10/16,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following is not considered a bare metal hypervisor?,VMware ESXi,Xen server,Hyper-V,Oracle VM VirtualBox,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following is true in regards to containers and / or virtual machines?,Containers have an operating system.,Virtual machines do not have an operating system.,Containers do not run on top of a hypervisor.,Virtual machines run on top of a hypervisor.,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"Which of the following is an open platform that is used to package and run applications in isolated environments, known as containers?",Hyper-V,Docker,LXC,VMware,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"What is the purpose of having a quorum, with regards to a failover cluster?",Provides a shared folder for transferring files between nodes.,Helps prevent split-brain scenarios.,Facilitates live migration between cluster nodes.,There is no advantage of having a quorum.,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following is known as an open-source container-orchestration system?,Kubernetes,Microsoft azure,Ansible,Amazon web services,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"Which of the following is a valid troubleshooting step for the following error, when logging into an Active Directory domain: “There are currently no logon servers available to service the logon request”?","Ensure that the client is on Wi-Fi, not Ethernet.",Ensure that the client has a static IP address.,Ensure that the client has a valid primary DNS server.,Ensure that the client has been rebooted at least 3 times.,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"A network administrator is troubleshooting an issue in which client machines intermittently cannot reach external websites and when external websites are reached, it seems very slow. Accessing websites via IP address does not have this issue. Which of the following is the most likely culprit?",DHCP,Active Directory,APIPA,DNS Forwarder,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which portion of the following MAC address is used to identify the manufacturer / vendor: 70-85-C2-AB-86-42,70-85-C2,70 and 42,AB-86-42,85-C2-AB-86,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following will likely fail to connect when accessing the website for BPA.org?,http://BPA.org,443://BPA.org,https://BPA.org,https://BPA.org:443,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following is not a valid type of virtual switch within Hyper-V?,External network,Internal network,Private network,Distributed network,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"Which of the following is a likely culprit for the error message, “Network path cannot be found”, when attempting to access a shared folder?",The shared folder must be mapped to a drive letter.,The hostname specified does not resolve to a valid IP address.,The shared folder is empty.,"An IP address was specified, instead of the hostname.",B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"A network administrator changed the default listening port of Remote Desktop Protocol to 3390 on the Remote Desktop server (hostname: RDServer, IP address: 192.168.1.10). When specifying the Remote Desktop server and port number through RDP, which of the following is not considered valid?",RDServer:3390,192.168.1.10:3390,3390:RDServer,192.168.1.1:2323,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following would not be a symptom that is seen when a broadcast storm occurs?,Network performance degradation,Intermittent packet loss,Large number of packets from a single device,Successful packet delivery,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,What is one of the primary advantages of using a small form-factor pluggable (SFP)?,Prevents ports from causing a loop,Allows bridging between multiple ports,Allows ports to be equipped with different types of transceivers,Prevents jumbo frames / packets from exceeding ~9000 bytes,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following are valid fiber optic connectors?,SC and FC,RJ-11 and RJ-45,VGA and DVI-D,DE-9 and DB-25,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following is not a valid network topology?,Ring,Matrix,Mesh,Star,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"Which of the following statements accurately describes what the cloud-based service, Infrastructure as a Service (IaaS) provides?",Provides access to third party cloud-based software.,"Provides access to resources, such as storage, networking, and virtualization.","Provides access to hardware and software tools, commonly used by developers.","Provides access to a dedicated, physical location.",B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"Which of the following statements accurately describes what the cloud-based service, Platform as a Service (PaaS) provides?",Provides access to third party cloud-based software.,"Provides access to resources, such as storage, networking, and virtualization.","Provides access to hardware and software tools, commonly used by developers.","Provides access to a dedicated, physical location.",C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"Which of the following statements accurately describes what the cloud-based service, Infrastructure as a Service (IaaS) provides?",Provides access to third party cloud-based software.,"Provides access to resources, such as storage, networking, and virtualization.","Provides access to hardware and software tools, commonly used by developers.","Provides access to a dedicated, physical location.",A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following devices / objects would be least likely to be considered part of the Internet of Things (IoT)?,Smartphones,Fitness trackers,Medical sensors,Printers,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which IEEE Standard for Wi-Fi has a theoretical maximum throughput of over 9.6 Gbps?,802.11ac,802.11n,802.11g,802.11ax,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which generation of broadband cellular network has a theoretical maximum throughput of over 10 Gbps?,4G,LTE,3G,5G,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following accurately describes how account information is stored in a Domain?,"Account information is stored in a centralized database, on a server.","Account information is stored in a local database, on each computer.","Account information is stored on a shared folder, hosted on a file server.","Account information is stored on a network device, such as a switch or router.",A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following accurately describes how account information is stored in a Workgroup?,"Account information is stored in a centralized database, on a server.","Account information is stored in a local database, on each computer.","Account information is stored on a shared folder, hosted on a file server.","Account information is stored on a network device, such as a switch or router.",A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following statements is not true when considering the primary differences between a proxy server and VPN?,VPNs encrypt traffic,Proxy servers do not encrypt traffic,VPNs mask IP addresses,Proxy servers encrypt traffic,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following statements accurately describes a monitoring filter driver?,Receives network requests and passes them to other drivers.,Receives network requests and inspects (can modify / drop packets).,Receives network requests and performs content filtering.,Receives network requests and modifies the packet to include a monitoring tag.,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"Users would like to access server resources from home (shared folders, application databases, etc.). Which of the following would be a secure option?","On the router, forward port 3389 to the server to allow external RDP connectivity.","Connect the server directly to the ISP device, bypassing the router, so that it receives an external IP address.","Allow users to share a login to third party, remote connectivity software.",Use a VPN with encryption enabled.,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following types of storage array does not provide block-level access to data?,DAS,SAN,NAS,SaaS,C
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,"A network administrator is troubleshooting an issue in which clients can ping devices on the same network (10.10.1.x), but cannot ping devices on a different network (10.10.2.x). Which of the following is the most likely culprit?",Router,Switch,Cables,Clients,A
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following security access control methods uses the physical address of the NIC to determine access to a network?,ACL,VLAN,IP address blocking,MAC filtering,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following statements is true when considering the primary differences between TCP and UDP?,TCP is a connectionless protocol,TCP is slower than UDP,UDP is a connection-oriented protocol,UDP is slower than TCP,B
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following statements accurately describes the practice of multihoming?,Replicating hosts or computer networks between multiple locations.,Physically moving hosts or computer networks to another location.,Connecting a host or computer network to itself.,Connecting a host or computer network to multiple networks.,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following is not a consideration when implementing Quality of Service (QoS)?,Packet loss,Throughput,Jitter,Cost,D
COMPUTER NETWORK TECHNOLOGY NATIONAL 2022,Which of the following network functions can help with network congestion by limiting the data transmission rate of the sender?,Flow control,Auto negotiation,Error control,Auto sensing,A
